block,position,pop,ind,Floral,FlStart,#FloralShoots,Remarks
19,10,7,72,1,7-Jun,1,
19,11,24,70,1,5-Jul,1,
19,12,13,72,1,16-Jun,4,
19,13,21,75,1,20-Jun,1,
19,14,5,73,1,20-Jun,1,
19,15,15,69,1,16-Jun,3,
19,16,6,83,1,9-Jun,3,
19,17,4,72,1,7-Jun,2,
19,18,19,71,1,27-Jun,1,
19,19,3,79,1,13-Jun,2,
19,20,18,72,1,16-Jun,1,
19,21,10,84,1,16-Jun,1,
19,22,8,74,1,25-Jul,1,
19,23,22,72,1,13-Jun,1,
20,1,5,74,1,20-Jun,1,
20,2,23,72,1,20-Jun,1,
20,3,16,78,1,23-Jun,1,
20,4,21,76,1,16-Jun,1,
20,5,2,88,0,,,
20,6,6,89,0,,,
20,7,12,73,1,13-Jun,1,
20,8,7,73,1,7-Jun,2,
20,9,9,75,1,16-Jun,2,
20,10,22,73,0,,,
20,11,4,73,0,,,
20,12,11,72,1,13-Jun,1,
20,13,14,70,1,13-Jun,1,
20,14,19,72,1,27-Jun,1,
20,15,15,70,1,13-Jun,1,
20,16,20,75,1,3-Jun,1,
20,17,24,71,1,5-Jul,1,
20,18,10,85,1,27-Jun,1,
20,19,13,73,1,23-Jun,1,
20,20,1,71,1,16-Jun,1,
20,21,17,87,1,13-Jun,1,
20,22,18,73,1,13-Jun,1,
20,23,3,82,1,7-Jun,3,
20,24,8,75,0,,,
21,1,1,72,0,,,
21,2,6,88,1,16-Jun,1,
21,3,16,81,1,20-Jun,1,
21,4,24,72,1,5-Jul,2,
21,5,13,77,1,20-Jun,1,
21,6,15,71,1,13-Jun,1,
21,7,10,86,1,16-Jun,1,
21,8,22,74,1,20-Jun,1,
21,9,8,76,1,13-Jun,2,
21,10,17,88,1,13-Jun,4,
21,11,11,73,1,7-Jun,1,
21,12,21,77,1,13-Jun,1,
21,13,18,74,0,,,
21,14,23,73,1,16-Jun,4,
21,15,14,71,1,7-Jun,1,
21,16,3,85,1,13-Jun,3,
21,17,7,74,1,3-Jun,1,
21,18,20,76,0,,,
21,19,4,74,1,20-Jun,1,
21,20,5,75,1,20-Jun,1,
21,21,9,76,1,23-Jun,1,
21,22,12,74,1,13-Jun,1,
22,1,19,74,1,27-Jun,1,
22,2,16,82,1,23-Jun,1,
22,3,8,77,1,16-Jun,1,
22,4,18,75,1,20-Jun,1,
22,5,4,75,1,16-Jun,1,
22,6,5,76,1,13-Jun,1,
22,7,15,72,1,13-Jun,1,
22,8,3,86,1,16-Jun,1,
22,9,21,78,1,16-Jun,1,
22,10,23,74,1,20-Jun,1,
22,11,17,89,1,20-Jun,1,
22,12,9,77,1,23-Jun,1,
22,13,13,78,1,16-Jun,1,
22,14,22,75,1,7-Jun,1,
22,15,12,75,1,13-Jun,1,
22,16,20,77,1,13-Jun,1,
22,17,24,73,1,5-Jul,2,
22,18,11,74,1,13-Jun,1,
22,19,14,72,1,13-Jun,1,
22,20,10,90,1,20-Jun,1,
22,21,7,75,1,3-Jun,1,
22,22,1,73,0,,,
22,23,6,91,1,16-Jun,1,
23,1,22,76,1,13-Jun,1,
23,2,24,74,1,27-Jun,1,
23,3,14,73,1,9-Jun,1,
23,4,18,76,1,16-Jun,1,
23,5,5,77,1,13-Jun,1,
23,6,7,76,0,,,
23,7,13,79,1,20-Jun,2,
23,8,8,78,1,13-Jun,1,
23,9,23,75,1,16-Jun,1,
23,10,10,91,0,,,
23,11,12,77,1,13-Jun,2,
23,12,17,94,1,9-Jun,1,
23,13,16,83,1,23-Jun,1,
23,14,15,73,1,9-Jun,2,
23,15,19,75,1,20-Jun,1,
23,16,20,78,1,13-Jun,2,
23,17,21,80,0,,,
23,18,4,77,,,,dead in winter 2004/2005
23,19,3,87,1,13-Jun,2,
23,20,1,74,1,13-Jun,2,
23,21,9,78,1,20-Jun,1,
23,22,6,92,1,13-Jun,3,
23,23,11,75,1,20-Jun,1,
24,1,9,79,1,20-Jun,1,
24,2,21,81,1,13-Jun,2,
24,3,17,95,0,,,
24,4,8,79,1,20-Jun,1,
24,5,18,77,1,16-Jun,1,
24,6,20,79,1,7-Jun,1,
24,7,22,77,1,16-Jun,1,
24,8,11,76,1,31-May,2,
24,9,5,79,1,13-Jun,2,
24,10,12,78,1,13-Jun,1,
24,11,24,75,1,30-Jun,1,
24,12,15,74,1,20-Jun,1,
24,13,16,84,0,,,
24,14,3,88,1,13-Jun,1,
24,15,2,94,0,,,
24,16,14,74,1,7-Jun,1,
24,17,7,77,1,16-Jun,1,
24,18,19,76,1,23-Jun,1,
24,19,23,76,1,13-Jun,1,
24,20,10,92,1,16-Jun,1,
24,21,6,94,1,7-Jun,1,
24,22,13,80,1,16-Jun,2,
24,23,4,79,1,7-Jun,1,
25,1,9,80,1,23-Jun,2,
25,2,23,77,1,20-Jun,3,
25,3,14,76,1,23-Jun,1,
25,4,15,76,1,16-Jun,1,
25,5,11,77,1,20-Jun,1,
25,6,5,80,1,9-Jun,2,
25,7,6,96,1,13-Jun,1,
25,8,2,95,1,13-Jun,1,
25,9,12,79,1,23-Jun,1,
25,10,17,98,1,13-Jun,1,
25,11,21,83,1,20-Jun,1,
25,12,19,77,1,20-Jun,1,
25,13,8,80,1,13-Jun,2,
25,14,13,81,1,16-Jun,2,
25,15,1,76,1,13-Jun,2,
25,16,24,76,1,5-Jul,2,
25,17,4,80,1,13-Jun,1,
25,18,20,80,1,31-May,1,
25,19,10,96,1,20-Jun,1,
25,20,7,78,1,13-Jun,1,
25,21,18,78,1,9-Jun,1,
25,22,16,85,1,23-Jun,1,
25,23,3,98,0,,,
26,1,9,81,1,20-Jun,3,
26,2,5,81,1,13-Jun,1,
26,3,22,79,1,16-Jun,1,
26,4,11,78,1,9-Jun,3,
26,5,1,77,1,13-Jun,2,
26,6,16,86,1,27-Jun,1,
26,7,17,99,1,13-Jun,1,
26,8,15,77,1,16-Jun,1,
26,9,4,82,1,13-Jun,2,
26,10,19,78,1,27-Jun,2,
26,11,13,82,1,16-Jun,1,
26,12,7,79,1,9-Jun,1,
26,13,23,65,0,,,
26,14,24,77,1,30-Jun,1,
26,15,6,97,1,13-Jun,1,
26,16,21,84,1,13-Jun,1,
26,17,12,80,1,13-Jun,1,
26,18,20,81,1,13-Jun,1,
26,19,8,81,1,13-Jun,1,
26,20,2,96,0,,,
26,21,18,79,1,16-Jun,1,
27,1,12,81,1,16-Jun,1,
27,2,6,61,1,13-Jun,3,
27,3,22,80,1,9-Jun,1,
27,4,14,78,1,7-Jun,1,
27,5,4,83,0,,,
27,6,16,87,1,23-Jun,2,
27,7,9,52,1,16-Jun,2,
27,8,19,79,1,20-Jun,2,
27,9,24,78,1,30-Jun,1,
27,10,8,82,1,20-Jun,1,
27,11,10,100,1,27-Jun,2,
27,12,1,78,1,7-Jun,2,
27,13,21,85,1,23-Jun,1,
27,14,3,91,1,7-Jun,2,
27,15,11,79,1,13-Jun,1,
27,16,17,100,1,13-Jun,1,
27,17,18,80,1,9-Jun,3,
27,18,13,83,1,7-Jun,1,
27,19,20,82,1,20-Jun,1,
27,20,7,80,1,13-Jun,1,
27,21,15,78,1,13-Jun,1,
28,1,17,69,0,,,
28,2,8,83,1,20-Jun,1,
28,4,8,84,1,13-Jun,1,
28,5,21,87,1,16-Jun,1,
28,6,17,71,0,,,
28,7,8,85,1,16-Jun,1,
28,8,21,88,0,,,
28,9,17,84,1,7-Jun,1,
