position,region,pop,plant,morph,height1,flwrstar,flwrleng,height2,winlen,antwin,winbud,inflor,flwrnode,agerepro
431,1,10,78,2,0,51,22,43,.,0,.,9,14,1
719,1,10,79,2,0,.,.,.,.,.,.,.,.,1
19,1,10,83,1,3,32,32,40,5.5,5,27.5,18,11,1
85,1,10,84,2,0,.,.,.,.,.,.,.,.,1
660,1,10,85,1,4,32,19,31,3.3,1,3.3,6,14,1
613,1,10,87,2,4,19,13,24,3.5,4,14,2,14,1
49,1,10,88,2,4,.,.,33,9,6,54,.,.,.
30,1,10,93,3,3,.,.,30,2,4,8,.,.,1
416,1,10,101,2,0,.,.,.,.,.,.,.,.,1
348,1,10,107,3,3,.,.,19,3.7,2,7.4,.,.,1
245,1,10,108,3,4,23,30,38,10.7,2,21.4,13,17,1
183,2,11,3,3,3,.,.,24,6.8,3,20.4,.,.,1
623,2,11,11,3,2,44,29,28,.,0,.,7,13,1
102,2,11,14,3,6,23,50,42,4.6,1,4.6,19,16,1
619,2,11,16,1,3,19,28,46,.,0,.,19,12,1
72,2,11,21,2,2,38,35,34,.,0,.,9,11,1
594,2,11,24,1,4,19,25,29,2.1,1,2.1,17,11,1
569,2,11,30,3,5,17,56,34,1.3,2,2.6,28,16,1
207,2,11,31,1,0,.,.,18,2.2,1,2.2,2,14,1
275,2,11,32,3,5,.,.,12,6.4,5,32,.,.,.
176,2,11,37,2,0,.,.,.,.,.,.,.,.,1
357,2,11,39,3,7,17,26,23,5,2,10,9,13,1
504,2,11,40,3,6,14,37,40,.,.,.,28,13,1
209,2,11,41,2,2,20,53,28,1.2,1,1.2,29,13,1
305,2,11,43,2,0,.,.,.,.,.,.,.,.,1
134,2,11,48,1,0,30,25,24,2.5,2,5,7,10,1
542,2,11,50,1,6,14,30,45,1.8,1,1.8,20,14,1
675,2,11,54,3,4,28,19,33,1.8,2,3.6,13,10,1
76,2,11,55,1,4,26,25,33,4.1,1,4.1,8,11,1
235,2,11,58,2,6,18,55,39,5.7,1,5.7,27,14,1
647,2,11,63,3,3,19,28,30,3.5,1,3.5,20,12,1
256,2,11,68,3,0,21,43,56,.,0,.,36,12,1
707,2,11,70,1,8,13,38,41,.,0,.,38,14,1
529,2,11,73,2,0,.,.,.,.,.,.,.,.,1
168,2,11,74,1,0,.,.,.,.,.,.,.,.,1
127,2,11,77,3,5,26,47,36,4.3,3,12.9,6,15,1
188,2,11,83,1,4,20,44,44,5.9,4,23.6,24,15,1
312,2,11,87,1,0,32,19,37,4.5,1,4.5,13,13,1
695,2,11,88,3,4,26,18,.,.,.,.,.,.,1
149,2,11,89,1,0,.,.,.,.,.,.,.,.,.
435,2,11,98,3,6,18,55,44,5.3,2,10.6,.,15,1
596,2,11,99,1,1,24,31,26,5.9,4,23.6,8,10,1
553,2,11,100,1,5,20,53,45,.,0,.,26,14,1
515,2,11,101,1,4,21,39,37,4.9,3,14.7,25,14,1
636,2,11,102,2,0,28,23,35,5.4,1,5.4,12,14,1
457,2,11,110,2,3,26,38,35,4,3,12,23,12,1
607,2,11,120,2,4,18,21,37,3.5,2,7,13,12,1
308,2,11,125,2,6,13,11,35,.,0,.,9,13,1
396,2,11,130,2,3,.,.,14,4.1,3,12.3,.,.,1
595,2,11,139,1,3,21,39,33,3.5,1,3.5,13,13,1
659,2,11,147,2,0,.,.,.,.,.,.,.,.,1
226,2,11,156,3,6,15,58,.,.,.,.,.,.,1
315,2,11,166,2,7,15,20,40,8.4,2,16.8,31,15,1
448,2,12,1,1,5,32,24,29,6.8,3,20.4,8,13,1
177,2,12,3,1,6,39,12,30,6.3,4,25.2,11,15,1
143,2,12,8,1,0,20,22,48,.,0,.,16,12,1
165,2,12,15,2,5,35,38,35,6,6,36,25,17,3
277,2,12,17,2,4,35,38,39,3.1,1,3.1,15,14,1
2,2,12,18,3,3,44,29,31,2.9,1,2.9,7,6,1
615,2,12,19,2,5,19,28,33,2.5,2,5,12,16,1
225,2,12,20,2,5,28,45,27,.,0,.,8,14,1
66,2,12,23,3,6,36,37,45,4.8,3,14.4,17,15,1
323,2,12,25,1,0,.,.,.,.,.,.,.,.,.
69,2,12,27,3,0,.,.,7,0.9,1,0.9,.,.,.
646,2,12,29,1,4,32,41,35,.,0,.,25,12,1
576,2,12,32,1,6,15,24,31,2.9,2,5.8,22,12,1
641,2,12,34,1,3,23,32,30,4,1,4,17,13,2
55,2,12,36,2,3,35,29,24,2.4,1,2.4,10,14,1
407,2,12,37,1,7,18,29,36,2.4,5,12,24,13,1
650,2,12,39,2,6,20,24,32,3.4,3,10.2,28,13,1
353,2,12,46,3,6,12,23,34,.,0,.,10,12,1
708,2,12,53,2,6,19,54,36,3.3,1,3.3,56,16,2
627,2,12,57,2,5,15,27,31,.,0,.,24,13,1
331,2,12,58,1,4,.,.,23,3.7,1,3.7,.,.,.
538,2,12,59,3,4,30,14,28,1.8,3,5.4,6,15,1
356,2,12,64,3,4,32,28,26,.,0,.,9,13,1
13,2,12,66,3,0,38,35,39,.,0,.,8,11,1
236,2,12,67,3,2,44,29,19,.,0,.,10,13,1
292,2,12,72,2,5,.,.,30,5.9,4,23.6,20,14,3
295,2,12,88,2,6,16,44,45,5,1,5,20,13,3
23,2,12,89,3,3,.,.,13,4.8,1,4.8,.,.,1
228,2,12,90,3,5,18,33,48,2.3,2,4.6,27,16,1
347,2,12,91,2,5,32,23,34,3.4,1,3.4,16,15,1
18,2,12,92,2,4,19,32,42,.,0,.,17,13,1
123,2,12,93,2,7,15,32,37,4.6,3,13.8,20,15,1
612,2,12,96,1,6,23,41,35,1.5,2,3,37,12,1
684,2,12,97,1,3,26,47,29,.,0,.,19,11,1
154,2,12,99,2,3,38,35,20,2.6,2,5.2,5,14,3
16,2,12,102,1,3,38,4,24,3.8,3,11.4,6,14,1
213,2,12,103,1,7,24,49,33,1.5,3,4.5,20,17,1
37,2,12,105,3,3,32,41,33,.,0,.,8,13,3
544,2,12,107,2,9,17,25,48,3.4,3,10.2,30,16,1
412,2,12,115,3,5,23,21,34,6.9,7,48.3,7,20,3
302,2,12,120,1,7,23,20,32,4.7,2,9.4,10,15,1
458,2,12,126,3,0,.,.,.,.,.,.,.,.,1
714,2,12,129,3,4,21,52,32,2,2,4,27,10,1
711,2,12,156,3,7,35,29,.,.,.,.,.,.,1
15,2,12,161,2,3,26,47,27,.,0,.,19,11,1
